lens_id,lens_name,mount_id,focal_length_id,sharpness,aberration,bokeh,autofocus,handling,value,price,rating,description
11,SMC Pentax-DA 50mm F1.8,7,3,9.2,8.6,9,8.1,8.7,9.4,$135.18 ,9.11,"The SMC Pentax-DA 50mm F1.8 lens is designed for the APS-C sensor format and performs like a small telephoto lens in that format (75mm eqv.). Pentax promises a superb rendition of depth and a natural bokeh (out-of-focus) effect in part thanks to the rounded aperture blades. It features a lightweight plastic construction with a plastic lens mount similar to that of the DA 35mm F2.4. The large maximum aperture of F1.8 produces a shallow depth of field which is ideal for portrait photography. The front element is SP coated so as to repel dirt and grease and be easier to clean. This lens is an affordable alternative to the DA* 55mm F1.4 lens. It will cost $249 and be available in late June / early July, 2012. It has a plastic bayonet."
12,SMC Pentax-DA* 55mm F1.4 SDM,7,3,9.7,8.8,9.6,7.8,9.4,8.8,$590.75 ,9.18,"The DA* 55mm lens features weather-sealing and SDM auto-focus. This lens does not provide 'screw drive' autofocus. The lens will thus be manual-focus only on older DSLR bodies (*istD series, K100D, K110D)."
13,HD Pentax-DA 70mm F2.4 Limited,7,4,9.5,9.3,9.2,9.1,9.5,9.1,$447.61 ,9.35,"The SMC Pentax-DA 70mm F2.4 Limited is high-quality a compact telephoto ""pancake"" lens that is designed only for Pentax DSLRs. The lens is pictured above with the hood on. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $749.95."
14,SMC Pentax-DA 70mm F2.4 Limited,7,4,9.6,9.2,9.1,9.1,9.6,9.3,$457.77 ,9.41,"The SMC Pentax-DA 70mm F2.4 Limited is high-quality a compact telephoto ""pancake"" lens that is designed only for Pentax DSLR's. The lens is pictured above with the hood on."
15,SMC Pentax-DA* 200mm F2.8 ED [IF] SDM,7,4,9.5,8.3,9.5,9.1,9.7,9.3,$911.39 ,9.16,This telephoto lens features weather-sealing as well as Pentax's SDM focusing technology. Although designated as a DA lens it covers the full frame (24 x 36mm) format.
16,SMC Pentax-DA* 300mm F4 ED [IF] SDM,7,5,9.7,9.6,9.3,8.1,9.5,9.2,"$1,026.60 ",9.56,The Pentax DA* 300mm telephoto lens features weather-sealing as well as Pentax's SDM focusing technology. It has a removable tripod mount.
17,HD Pentax-DA 560mm F5.6 ED AW,7,5,9.2,8.2,9,9,8.2,8.6,"$4,582.83 ",9,"The HD PENTAX-DA 560mm F5.6 ED AW DC extreme telephoto lens was initially announced at the CP+ tradeshow in February, 2012 and officially announced in September, 2012 at Photokina. It went on sale in February, 2013. This lens is designed for the APS-C sensor format. With a modest maximum aperture of 5.6 it is relatively affordable and convenient to carry around. The lens is optimized for rendering distant subjects particularly sharp and well-defined. The DA 560mm is based on optics used in astronomical telescopes. Contrary to popular belief, the lens is not collapsible (it does feature a built-in retractable hood, however). The lens is designed for all-weather use (AW) incorporating a total of 29 seals to protect the innards of the lens. It has a built-in filter holder at the rear taking 40.5mm filters. A circular polarizer filter which can be rotated without removing the filter from the lens is included with the lens. The lens has a built-in DC autofocus motor and features Quick-shift which allows the photographer to manually fine tune focus without switching out of autofocus mode.. On cameras with no support for in-lens autofocus motors (*istD series, K100D and K110D) the lens works as a manual focus lens. This lens features Pentax HD coating, the next generation of multi-coating (supersedes SMC coating). The diaphragm blades are rounded for a smooth bokeh in the range F5.6 to F11. The filter holder at the rear has a wheel that allows for turning the circular polarizer when mounted in the holder."
18,HD Pentax-DA 10-17mm F3.5-4.5 Fish-Eye ED,7,6,9.3,8,7.5,9,9.7,8.7,$423.48 ,8.67,"The Pentax 10-17mm fisheye lens provides a 180-degree diagonal Field of View (FoV) on Pentax APS-C format DSLRs. At 17mm, the FOV is reduced to 100 degrees. The image is not rectilinear. The fisheye effect is more dramatic at the wider end of the zoom range. This lens is an upgrade of the earlier smc version and features HD coating and a removable lens hood. W hen mounted on a PENTAX K-1 or PENTAX K-1 Mark II camera body, the photographer can remove the lens hood to produce nearly circular fish-eye images."
19,SMC Pentax-DA 10-17mm F3.5-4.5 Fish-Eye ED [IF],7,6,8.4,6.9,7.2,8.9,9.2,9.1,$410.93 ,8.93,"The Pentax 10-17mm fisheye lens provides a 180-degree diagonal Field of View (FoV) on Pentax APS-C format DSLRs. At 17mm, the FOV is reduced to 100 degrees. The image is not rectilinear. The fisheye effect is more dramatic at the wider end of the zoom range. In 2019 this lens was replaced by an HD coated version , but it can still be found new as of February 2020."
20,HD Pentax-DA* 11-18mm F2.8 ED DC AW,7,6,10,9.3,9.4,9.6,9.8,9.7,"$1,442.08 ",9.92,"This is a high end ultra-wide angle zoom lens for the APS-C format with a large maximum aperture for a wide angle zoom of F2.8. It complements the DA* 16-50mm F2.8 and DA* 50-135mm lenses as a weather sealed trio of F2.8 high performance lenses for the APS-C format. The 11-18mm zoom is weather sealed and features a focus clamp intended to prevent accidental change of focus e.g. when the lens is used for astro-photography. The lens is cold-resistant to -10 degrees centigrade. The exterior is designed with a lens heater groove to prevent dew condensation. To facilitate the installation of the heater, the lens is shaped fairly level, without a bump between the lens barrel and the focus and zoom rings. The lens barrel has been constructed with metallic components for effective transmission of the heat generated by the heater. Case, caps and lens hood are included with the lens. The lens hood features a removable door which allows for rotating a polarizing filter should one be attached. The lens was released on February 22, 2019."
21,SMC Pentax-DA 12-24mm F4 ED AL [IF],7,6,9.3,8,8.1,8.9,9.2,8.7,$678.37 ,9.15,This 12-24mm extreme-wide angle zoom lens provides a useful range for landscape and street photography. An alternative would be the heavier and more expensive DA* 11-18mm F2.8 lens.
22,SMC Pentax-DA 16-45mm F4,7,6,8.7,7.9,7.7,8.4,8.4,9.2,$265.20 ,8.72,This wide-angle to normal lens is among the earlier DA lenses. It has a fixed maximum aperture of F4 across the entire zoom range.
23,HD Pentax-DA* 16-50mm F2.8 ED PLM AW,7,6,9.8,9.5,9.4,9.4,9.4,9.3,"$1,342.33 ",9.56,"The HD Pentax-DA* 16-50mm F2.8ED PLM SDM AW is a professional APS-C format zoom lens designed to deliver high image quality. It features a PLM autofocus motor which allows for fast and silent autofocus also suitable for autofocus during video recording. The lens mount is KAF4*, which incorporates electromagnetic aperture control and the lens is weather sealed. The lens is rated for use from -10 degrees C to 40 degrees C and a humidity of 85% or less. The lens has three super ED glass lens elements and one anomalous glass element for the purpose of reducing chromatic aberration. This lens replaces the smc Pentax-DA* 16-50mm F2.8ED AL [IF] SDM , vhivh goes all the way back to 2007. Where this old model had internal focus ([IF]), the new model extends slightly when focusing. The lens is scheduled to become available in August 2021. * Cameras compatible with this system are the K-50 and newer. For K-1, K-3 II, K-3, K-S2, K-S1 and K-50, the cameras firmware must be upgraded to the latest version. If this lens is mounted on a camera without proper firmware upgrade, its diaphragm control mechanism becomes inactive leaving the aperture fixed at F2.8, making it difficult to obtain correct exposure."
24,SMC Pentax-DA* 16-50mm F2.8 ED AL [IF] SDM,7,6,8.4,7.6,8.3,7.8,8.5,7.5,$719.05 ,8.36,"Like all other DA lenses, the SMC Pentax DA* 16-50mm is designed exclusively for Pentax APS-C format DSLR cameras. It was announced in late February, 2007. It auto-focuses with an SDM ultrasonic motor on the K10D (firmware 1.30) and newer cameras. On older cameras the lens will auto-focus with the 'screw drive' mechanism."
25,HD Pentax-DA 16-85mm F3.5-5.6 ED DC WR,7,6,9,8.7,7.7,8.9,9,8.1,$502.25 ,8.86,The HD Pentax-DA 16-85mm zoom was presented at Photokina 2014 and is expected to ship in November of 2014. This zoom represents an upgrade from the 18-55mm kit lens being wider as well as having a longer reach and adding to that silent autofocus thanks to a built-in DC autofocus motor. The lens is weather resistant.
26,SMC Pentax-DA 17-70mm F4 AL [IF] SDM,7,6,8.5,8.4,8.1,6.3,8,7.3,$460.93 ,7.63,"This wide-angle to normal zoom incorporates the new Pentax KAF3 mount, which uses SDM focusing technology but has no mechanical focusing shaft. Thus, it can only autofocus on Pentax digital SLRs that support SDM, including the K100D Super, K200D, K10D, K20D, and later models. On older cameras you must focus manually."
27,HD Pentax-DA 18-50mm F4-5.6 DC WR RE,7,6,7.7,7.9,7.1,8.8,6.2,7.9,$137.33 ,7.53,"The HD PENTAX-DA 18-50mm F4-5.6 DC WR RE launched in February 2015 was a welcome addition to the 18-50/55 mm range of zoom lenses for the APS-C format with its built-in autofocus motor for silent autofocusing. Focusing manually with the focusing ring engages the AF motor, which takes care of the focusing. This implies that this lens cannot be used on DSLRs without lens power contacts (K100D and older). As a first for Pentax this standard zoom lens is retractable for easy storage and portability. When retracted it measures but 41 mm in length. The lens is weather resistant making it useable in dusty environments or in light rain when paired with a weather-resistant Pentax DSLR. The lens features the Pentax HD coating and super-low dispersion glass elements and aspherical elements for improved image quality. The lens has an smc coated DA L counterpart, which is is included as a kit lens with a camera body and cannot be purchased separately."
28,SMC Pentax-DA 18-55mm F3.5-5.6 AL,7,6,7.1,7.1,6.6,7.6,8.3,8.6,$61.79 ,7.42,"The DA 18-55mm F3.5-5.6 is the original Pentax DSLR kit lens. In 2008, an upgraded version badged "" SMC Pentax-DA 18-55mm F3.5-5.6 AL II "" replaced this model, featuring improvements in image quality."
29,SMC Pentax-DA 18-55mm F3.5-5.6 AL II,7,6,7.9,8,7.2,8,9,9.1,$91.55 ,8.21,This new version of the 18-55mm Pentax kit lens was released in 2008 and features improved resolution. It has since been replaced by a weather-resistant variant.
30,SMC Pentax-DA 18-55mm F3.5-5.6 AL WR,7,6,7.3,7.6,7.1,8.2,8.8,8.8,$114.69 ,7.76,This is the new weather-sealed version of the Pentax kit lens which started shipping with the K-7 bundle. It is optically identical to the SMC Pentax-DA 18-55mm AL II.
31,SMC Pentax-DA 18-135mm F3.5-5.6 ED AL [IF] DC WR,7,6,8.1,7.7,8,9.3,9.4,8.6,$398.84 ,8.52,"The SMC Pentax-DA 18-135mm F3.5-5.6 ED AL [IF] DC WR is a new prosumer walkaround lens from Pentax. The lens currently has an MSRP of $499.95 . This lens covers a wide zoom range and features Pentax's latest lens technology, including the Quick-Shift focus system, SP (Super Protect) coating, and a DC motor for the SDM focusing system. When this lens auto-focuses, the external focusing ring does not move, allowing for comfortable holding and fine manual adjustment on the fly as well as for excellent AF speed. The lens also features an aspherical element, internal focusing, and extra-low dispersion element, and weather sealing to compliment the weather sealing of the K-5. The aperture blades are rounded to help render a very smooth bokeh. Finally, the lens hood also features a filter window for easy use of CPL filters. Note: this lens uses the KAF3 mount. Autofocus will only work on SDM-enabled bodies: The K100D Super and K10D (w/ 1.30 firmware or higher) and newer."
32,SMC Pentax-DA 18-250mm F3.5-6.3 ED AL [IF],7,6,8.5,7.8,7.6,8,8.3,9.2,$415.66 ,8.58,"Released in late 2007, the SMC Pentax-DA 18-250 mm lens is based on a Tamron 18-250 mm lens. It was discontinued in 2011 and replaced by the SMC Pentax-DA 18-270mm lens in 2012."
33,SMC Pentax-DA 18-270mm F3.5-6.3 ED SDM,7,6,7.9,7.9,8.5,9,9.1,8.5,$485.71 ,8.33,"The smc PENTAX-DA 18-270mm F3.5-6.3 ED SDM zoom lens features a 15X zoom ratio and a supersonic AF motor. It was introduced in September 2012 and replaces the long since discontinued smc Pentax-DA 18-250mm F3.5-6.3 ED AL (IF) . Like the older lens this new lens is also based on a Tamron lens. The lens has a built-in autofocus motor and no support for autofocus via a drive shaft. On older DLSRS (the *istD series, K100D and K110D) the lens will work in manual focus mode only. The lens features rounded aperture blades for a smooth bokeh."
34,HD Pentax-DA 20-40mm F2.8-4 Limited DC WR,7,6,9.1,9.1,9.1,8.7,9.7,8.8,$692.35 ,9.16,"The HD Pentax-DA 20-40mm F2.8-4 Limited DC WR is the first zoom lens to join the Pentax lineup of ultra-compact ""limited"" lenses. This lens features a sleek all-metal barrel manufactured to very high standards. This is also the first Limited series lens to feature silent DC autofocus as well as a weather-sealed design. Like the other HD Limited lenses, this lens features Pentax's latest lens coating promising less ghosting and flare. As is standard for all premium Pentax lenses, this lens allows for full-time manual focus adjustments (Quick shift) and it is treated with Pentax's Super Protect coating to protect the front element from dust and scratches The lens covers a wide-angle to normal focal length range, and is compatible with Pentax APS-C DSLRs. It will be available in both black and silver in December, 2013 for $999."
35,SMC Pentax-DA* 50-135mm F2.8 ED [IF] SDM,7,6,9.4,9,9.2,7,9.1,8.5,$790.63 ,9.02,"Like all current DA lenses, the SMC Pentax DA* 50-135mm is designed only for Pentax APS-C DSLR cameras. It was announced in late February, 2007. It auto-focuses with an SDM ultrasonic motor on the K10D (firmware 1.30) and newer cameras. On older cameras the lens will auto-focus with the 'screw drive' mechanism."
36,SMC Pentax-DA 50-200mm F4-5.6 ED,7,6,6.7,7.2,7.1,6.1,8.5,8.2,$150.73 ,7.46,This compact lens features an extra-low dispersion (ED) glass element. It has been succeeded by a weather-resistant version.
37,SMC Pentax-DA 50-200mm F4-5.6 ED WR,7,6,7.6,7.6,7.3,6.9,8.3,8.9,$156.15 ,7.86,This is the weather-resistant version of the 50-200mm zoom lens. The filter diameter has been reduced to 49mm.
38,SMC Pentax-DA 55-300mm F4-5.8 ED,7,6,8.3,8,7.8,6.8,8.6,9.2,$313.04 ,8.53,The Pentax DA 55-300mm telephoto zoom lens was released in 2008 and retired in 2013 in favor of a WR variant.
39,HD Pentax-DA 55-300mm F4-5.8 ED WR,7,6,8.5,8.4,8.1,7.2,9.1,9.1,$342.63 ,8.63,This weather sealed version of the 55-300mm lens was introduced in 2013 with a US MSRP of $449. The original version has been a favorite by many and with most Pentax DSLRs being weather sealed it makes a lot of sense that Pentax introduces it in a WR version. Another upgrade is the lens coating which now is of the more flare resistant HD type. The front element is SP (Super Protect) coated like on the predecessor. SP coating repels grease and finger prints and is easier to clean should it get dirty.
40,HD Pentax-DA 55-300mm F4.5-6.3 ED PLM WR RE,7,6,8.6,8.9,8.7,9.5,8.9,9.1,$389.03 ,8.89,"The HD Pentax-DA 55-300mm F4.5-6.3 ED PLM WR RE is a compact, weather-sealed APS-C telephoto zoom lens featuring a retractable barrel design. This lens also debuts PLM (Pulse Motor) autofocus technology and an electromagnetic aperture diaphragm to facilitate smooth focusing and exposure adjustments during video recording. Unlike earlier Pentax lenses, the aperture stop-down lever in the camera is not used to control the diaphragm of this lens. A DSLR launched in 2013 or later is needed to operate this new system (the K-500 is not compatible). The optical formula of this lens has been redesigned compared to the previous DA 55-300mm F4-5.8 . The new lens now has a rear-mounted focus ring and internal focus, is nearly 3 cm shorter when collapsed, but also loses about half a stop of light at both ends."
41,SMC Pentax-DA* 60-250mm F4 ED [IF] SDM,7,6,9.4,9.1,9.2,8.5,9.2,9.1,"$1,128.52 ",9.52,"Like all current DA lenses, the SMC Pentax DA* 60-250mm is designed only for Pentax DSLR cameras. It was announced in late February, 2007. It auto-focuses with an SDM ultrasonic motor on the K10D (firmware 1.30) and newer cameras. On older cameras the lens will auto-focus with the 'screw drive' mechanism."
42,SMC Pentax-DA L 18-50mm F4-5.6 DC WR RE,7,6,7.9,8.2,7.7,8.9,7.9,8.9,$89.28 ,8.5,"The smc PENTAX-DA L 18-50mm F4-5.6 DC WR RE kit lens launched in February 2015 was a welcome addition to the selection of kit lenses for the APS-C format due to its built-in autofocus motor for silent autofocusing. Focusing manually with the focusing ring engages the AF motor, which takes care of the focusing. This implies that this lens cannot be used on DSLRs without lens power contacts (K100D and older). As a first for Pentax this standard zoom lens is retractable for easy storage and portability. When retracted it measures but 41 mm in length. The lens is weather resistant making it useable in dusty environments or in light rain when paired with a whether-resistant Pentax DSLR. The lens features super-low dispersion glass elements and aspherical elements for improved image quality. This lens is only sold as a part of a camera/lens kit, and it has an HD coated counter part that is sold separately."
43,SMC Pentax-DA L 18-55mm F3.5-5.6 AL,7,6,7.5,7.5,7.1,8,8.3,9,$51.61 ,7.7,"The SMC Pentax-DA L 18-55mm F3.5-5.6 is similar to its DA-series counterpart, the DA 18-55mm F3.5-5.6 AL II, except that it features a slightly lighter design, plastic mount, and no quick-shift focus functionality. It is included as a part of a camera kit and is not sold separately."
44,SMC Pentax-DA L 18-55mm F3.5-5.6 AL WR,7,6,7.3,7.8,7.2,7.9,8.1,8.6,$93.86 ,7.67,The Pentax-DA L 18-55mm F3.5-5.6 AL WR is a weather resistant version of the original DA L 18-55mm F3.5-5.6 AL featuring the same optical design. It is included as a part of a camera kit and is not sold separately.
45,SMC Pentax-DA L 50-200mm F4-5.6 ED,7,6,8,8.4,7.9,8,8.4,9.1,$90.43 ,8.24,"The SMC Pentax-DA L 50-200mm F4-5.6 lens is similar to its DA-series counterpart, except that it features a slightly lighter design, plastic mount, and no quick-shift focus functionality. This lens is only available in camera kit bundles and does not come with a hood."
46,SMC Pentax-DA L 50-200mm F4-5.6 ED WR,7,6,9,8.5,8.4,8.4,9.4,9.5,$82.82 ,9,The Pentax-DA L 50-200mm F4-5.6 ED WR is a weather-sealed version of the original DA L 50-200mm F4-5.6 ED featuring the same optical design.
47,SMC Pentax-DA L 55-300mm F4-5.8 ED,7,6,8.6,8.2,8.3,7.5,8.3,9.7,$189.68 ,8.75,The DA L version of the SMC Pentax-DA 55-300mm lens is a budget variant that only comes bundled in camera kits. It lacks quick shift functionality and the bayonet is made of plastic rather than metal.
48,HD Pentax-D FA 21mm F2.4 ED Limited DC WR,6,1,9.8,8.8,9.4,9.2,9.9,9.2,"$1,297.71 ",9.85,"The HD Pentax-D FA 21mm F2.4 Limited is the first full-frame Limited lens featuring a built-in silent autofocus motor and weather sealing. It is a premium ultra-wide lens with metal finish in the style of the FA Limited lenses and with an emphasis on top-notch optical performance. The aperture mechanism is controlled electronically (KAF4 mount)*. At 21mm this lens is a nice supplement to the FA limited lenses and to a walk-around zoom like the D FA 28-105mm zoom. Its optics incorporates four ED (Extra-low Dispersion) and one Super ED (Extra-low Dispersion) glass optical elements. RICOH states that this will minimize chromatic aberration and prevent color bleeding, not only in the main in-focus area, but also in the surrounding defocused areas. It also features a large-aperture negative meniscus optical element, a biconvex aspherical glass-mold optical element, and a high-refraction glass optical element in the first lens group, to reduce overall size despite its ultra-wide-angle design. RICOH claims that this lens will deliver outstanding imaging performance for sharp, crisp images without any fuzziness, even in peripheral areas. Stay tuned for our upcoming test of the D FA 21mm lens which will look into these claims. * Cameras compatible with this system are the K-50 and newer. For K-1, K-3 II, K-3, K-S2, K-S1 and K-50, the cameras firmware must be upgraded to the latest version. If this lens is mounted on a camera without proper firmware upgrade, its diaphragm control mechanism becomes inactive leaving the aperture fixed at F2.4, making it difficult to obtain correct exposure."
49,HD Pentax-D FA* 50mm F1.4 SDM AW,6,3,10,9.3,9.8,9.6,9.3,9.4,"$1,020.74 ",9.81,"The HD Pentax-D FA* 50mm F1.4 SDM AW is a professional full-frame prime lens designed to deliver impeccable image quality for today's demanding cameras. It is the first star-series full-frame prime lens of the digital era. The HD Pentax-D FA * 50mm F1.4 SDM AW covers the full frame (24x36mm) format. On APS-C it works like a short telephoto lens. It features the latest KAF4 lens mount*, which incorporates electromagnetic aperture control. In addition, this is the first Pentax lens to use a ring-type autofocus motor which delivers significantly more torque than previous SDM motors. * Cameras compatible with this system are the K-50 and newer. For K-1, K-3 II, K-3, K-S2, K-S1 and K-50, the cameras firmware must be upgraded to the latest version. If this lens is mounted on a camera without proper firmware upgrade, its diaphragm control mechanism becomes inactive leaving the aperture fixed at F1.4, making it difficult to obtain correct exposure. Originally unveiled in February, 2017, the lens hit the market in July, 2018. In August of 2020 the limited quantity silver version was announced ."
50,SMC Pentax-D FA 50mm F2.8 Macro,6,3,9.5,9.2,8.5,8.4,9.1,9.1,$299.73 ,9.21,The SMC Pentax-D FA 50mm F2.8 macro lens features 1:1 macro capabilities. It has the same optics as its FA and F series predecessors.
51,HD Pentax-D FA* 85mm F1.4 SDM AW,6,4,10,10,10,9.6,8.9,9.6,"$1,939.30 ",10,"The HD Pentax-D FA* 85mm F1.4 SDM AW is a professional full-frame prime lens designed to deliver impeccable image quality for today's demanding digital cameras. It is the second star-series full-frame prime lens of the digital era, the first being the D FA* 50mm F1.4 lens. The D FA * 85mm F1.4 is a short telephoto lens covering the full frame (24x36mm) format. It features the latest KAF4 lens mount*, which incorporates electromagnetic aperture control. It features a ring-type autofocus motor which delivers significantly more torque than previous SDM motors and the lens is weather sealed. The lens is rated for use from -10 degrees C to 40 degrees C and a humidity of 85% or less. The lens features three super ED glass lens elements and one aspherical element. The lens was officially announced on March 24, 2020 and become available in July 2020. In August 2020 a limited quantity silver version was announced . * Cameras compatible with this system are the K-50 and newer. For K-1, K-3 II, K-3, K-S2, K-S1 and K-50, the cameras firmware must be upgraded to the latest version. If this lens is mounted on a camera without proper firmware upgrade, its diaphragm control mechanism becomes inactive leaving the aperture fixed at F1.4, making it difficult to obtain correct exposure."
52,HD Pentax-D FA 100mm F2.8 ED AW Macro,6,4,10,9.8,10,9,9.8,10,$610.50 ,9.83,"The HD Pentax-D FA 100mm F2.8 ED AW Macro is the first Pentax macro lens with All Weather sealing (rather than traditional Weather Resistance), which provides protection from dust and moisture. Its optical formula has also been redesigned to improve image quality compared to its predecessor. and now incorporates one ED (Extra-low Dispersion) glass optical element and two Anomalous Dispersion glass optical elements to compensate for various aberrations and minimize the generation of the unwanted purple fringe effect. The lens coating has been upgraded to HD, which significantly reduces average reflectance in the visible ray spectrum. Like its predecessor the lens barrel is metal resembling the FA Limited lens line."
53,SMC Pentax-D FA 100mm F2.8 Macro WR,6,4,9.8,9.2,9.5,7.7,9.4,9.3,$556.09 ,9.55,"A weather-sealed version of the DFA 100mm f/2.8 macro lens. Maximum magnification is 1:1. The image circle of the lens covers the full 35mm film format as did its predecessor. Cosmetics have changed and build quality has been improved - the lens now has an aluminum barrel. This new lens does not have an aperture ring so it is not suitable for use on the older film cameras which do not allow for setting the aperture from the camera body, such as the LX, MX, ME, ME Super, K1000 etc. The aperture has rounded blades which should result in a pleasing and smooth rendering of out-of-focus areas (aka bokeh). Like all weather-sealed lenses, the D FA 100mm Macro has a rubber seal around the lens mount, which can be seen in the photo (colored red). The front element is SP (Super Protect) coated."
54,SMC Pentax-D FA 100mm F2.8 Macro,6,4,9.6,8.5,9.4,7.1,8.2,9.2,$416.14 ,9,"This lens features a clamp and 1:1 macro magnification. Optically it is the same as the predecessor, the smc Pentax-FA 100mm F2.8 Macro, and optically also the same as the Weather Resistant successor."
55,HD Pentax-D FA 15-30mm F2.8 ED SDM WR,6,6,9.5,8.7,8.1,9.2,8,8.3,"$1,317.88 ",9.1,"The HD Pentax-D FA 15-30mm F2.8 ED SDM WR zoom lens was announced in February 2016. It complements the D FA 24-70mm F2.8 and the D FA* 70-200mm F2.8 zooms so that Pentax users have access to fast F2.8 pro level zoom lenses covering the entire range from 15 mm to 200 mm. On a full frame DSLR the field of view covers that from extreme wide angle to moderate wide angle. The lens can also be used on DSLRs with an APS-C size sensor, but the field of view is much reduced. The HD Pentax-DA* 11-18 mm F2.8 or the smc Pentax-DA 12-24 mm F4 are the better (and lighter) options for APS-C shooters. The 15-30 mm zoom features nine rounded diaphragm blades for smooth Bokeh and it has a number of seals making it weather resistant. The front element is SP coated which helps repel water drops and grease. The lens also features Quick Shift. The lens hood is an integral part of the lens barrel and filters cannot be used due to the massive, protruding front element. The lens has a built-in SDM autofocus motor and no provision for screw drive autofocus. Autofocus is thus available only with the K10D and K100D Super, and all newer cameras. The lens has no aperture ring and is primarily intended for use on DSLR cameras. It can be used, though, on film cameras that have P and Tv automation or where the aperture can be controlled by an e-dial on the camera. On film cameras focusing is manual only. At 1040 g/36.7 oz. this lens is a bit heavy."
56,HD Pentax-D FA 24-70mm F2.8 ED SDM WR,6,6,9.2,9,8.7,8.8,8.6,8.6,"$1,106.96 ",9.04,The HD PENTAX-D FA 24-70mm F2.8 ED SDM AW zoom lens was announced in September 2015 as the third zoom lens developed with the Pentax full frame DSLR in mind. On a full frame the field of view covers a very useful range from ultra wide angle to short tele. The lens can also be used on DSLRs with an APS-C size sensor; here the field of view goes from moderate wide angle to telephoto. The lens features rounded diaphragm blades for smooth Bokeh and it has a number of seals making it weather resistant. Other features are Quick Shift and a zoom lock button intended to prevent the zoom from extending when pointed downwards. The lens has a built-in SDM (Supersonic Direct-drive motor) autofocus motor and no provision for screw drive autofocus. Autofocus is thus neither possible with the K100D/K110D or *istD series cameras nor with film SLR cameras. As per RICOH the SDM autofocus motor is of a new generation. Hopefully this means that it is more reliable than the SDM motors introduced back in 2007. The lens is essentially a rebadged Tamron SP 24-70mm F2.8 Di VC USD lens from 2013 with the in-lens stabilization mechanism removed.
