lens_id,relation,entity
7,lens_name,HD Pentax-DA 35mm F2.8 Limited Macro
7,mount,7
7,focal_length,2
7,sharpness,9.7
7,aberration,9.5
7,bokeh,9.4
7,autofocus,8.9
7,handling,9.7
7,value,9.5
7,reviews,26
7,views,"156,773"
7,last_date,"Sat December 10, 2022"
7,recommended_by,96% of reviewers
7,price,$421.06 
7,rating,9.64
7,description,"The Pentax 35mm Limited macro lens is designed for use only with APS-C format Pentax DSLRs. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $749.95."
7,image_link,https://www.pentaxforums.com/lensreviews/data/34/35mmb.JPG
7,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-35mm-f2.8-limited-macro.html
8,lens_name,SMC Pentax-DA 35mm F2.8 Limited Macro
8,mount,7
8,focal_length,2
8,sharpness,9.8
8,aberration,9.3
8,bokeh,8.8
8,autofocus,8.0
8,handling,9.3
8,value,9.2
8,reviews,124
8,views,"498,813"
8,last_date,"Sun August 11, 2024"
8,recommended_by,98% of reviewers
8,price,$454.00 
8,rating,9.5
8,description,The Pentax 35mm Limited macro lens is designed for use only with APS-C format Pentax DSLRs.
8,image_link,https://www.pentaxforums.com/lensreviews/data/34/21730_DA35mmMacro.jpg
8,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-35mm-F2.8-Limited-Macro-Lens.html
9,lens_name,HD Pentax-DA 40mm F2.8 Limited
9,mount,7
9,focal_length,2
9,sharpness,9.2
9,aberration,9.1
9,bokeh,8.4
9,autofocus,8.7
9,handling,8.9
9,value,8.6
9,reviews,17
9,views,"84,667"
9,last_date,"Sat December 2, 2023"
9,recommended_by,88% of reviewers
9,price,$350.20 
9,rating,9.07
9,description,"The HD Pentax DA 40mm Limited is the successor to the original M 40mm ""pancake"" lens. It is slightly smaller and 20g lighter because it lacks an aperture ring, and features improved optics. The DA 40mm lens works perfectly on film SLRs, even with the hood. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $549.95."
9,image_link,https://www.pentaxforums.com/lensreviews/data/34/40mmb.JPG
9,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-40mm-f2.8-limited.html
10,lens_name,SMC Pentax-DA 40mm F2.8 Limited
10,mount,7
10,focal_length,2
10,sharpness,9.4
10,aberration,9.2
10,bokeh,8.9
10,autofocus,9.3
10,handling,9.3
10,value,9.5
10,reviews,149
10,views,"585,782"
10,last_date,"Fri October 25, 2024"
10,recommended_by,99% of reviewers
10,price,$304.68 
10,rating,9.49
10,description,"The SMC Pentax DA 40mm Limited is the successor to the original M 40mm ""pancake"" lens. It is slightly smaller and 20g lighter because it lacks an aperture ring, and features improved optics. The DA 40mm lens works perfectly on film SLR's, even with the hood."
10,image_link,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax_DA_Limited_40mm_Pancake.jpg
10,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-40mm-F2.8-Limited-Pancake-Lens.html
11,lens_name,SMC Pentax-DA 50mm F1.8
11,mount,7
11,focal_length,3
11,sharpness,9.2
11,aberration,8.6
11,bokeh,9.0
11,autofocus,8.1
11,handling,8.7
11,value,9.4
11,reviews,76
11,views,"441,137"
11,last_date,"Sun August 11, 2024"
11,recommended_by,96% of reviewers
11,price,$135.18 
11,rating,9.11
11,description,"The SMC Pentax-DA 50mm F1.8 lens is designed for the APS-C sensor format and performs like a small telephoto lens in that format (75mm eqv.). Pentax promises a superb rendition of depth and a natural bokeh (out-of-focus) effect in part thanks to the rounded aperture blades. It features a lightweight plastic construction with a plastic lens mount similar to that of the DA 35mm F2.4. The large maximum aperture of F1.8 produces a shallow depth of field which is ideal for portrait photography. The front element is SP coated so as to repel dirt and grease and be easier to clean. This lens is an affordable alternative to the DA* 55mm F1.4 lens. It will cost $249 and be available in late June / early July, 2012. It has a plastic bayonet."
11,image_link,https://www.pentaxforums.com/lensreviews/data/34/smc_Pentax-DA_50_1_8_x600.jpg
11,lens_link,https://www.pentaxforums.com/lensreviews/smc-pentax-da-50mm-f1.8.html
12,lens_name,SMC Pentax-DA* 55mm F1.4 SDM
12,mount,7
12,focal_length,3
12,sharpness,9.7
12,aberration,8.8
12,bokeh,9.6
12,autofocus,7.8
12,handling,9.4
12,value,8.8
12,reviews,73
12,views,"361,394"
12,last_date,"Sun September 15, 2024"
12,recommended_by,97% of reviewers
12,price,$590.75 
12,rating,9.18
12,description,"The DA* 55mm lens features weather-sealing and SDM auto-focus. This lens does not provide 'screw drive' autofocus. The lens will thus be manual-focus only on older DSLR bodies (*istD series, K100D, K110D)."
12,image_link,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA_star_55mm_F14_SDM.jpg
12,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-Star-55mm-F1.4-SDM-Lens.html
13,lens_name,HD Pentax-DA 70mm F2.4 Limited
13,mount,7
13,focal_length,4
13,sharpness,9.5
13,aberration,9.3
13,bokeh,9.2
13,autofocus,9.1
13,handling,9.5
13,value,9.1
13,reviews,17
13,views,"98,013"
13,last_date,"Tue May 30, 2023"
13,recommended_by,100% of reviewers
13,price,$447.61 
13,rating,9.35
13,description,"The SMC Pentax-DA 70mm F2.4 Limited is high-quality a compact telephoto ""pancake"" lens that is designed only for Pentax DSLRs. The lens is pictured above with the hood on. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $749.95."
13,image_link,https://www.pentaxforums.com/lensreviews/data/34/70mmb.jpg
13,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-70mm-f2.4-limited.html
14,lens_name,SMC Pentax-DA 70mm F2.4 Limited
14,mount,7
14,focal_length,4
14,sharpness,9.6
14,aberration,9.2
14,bokeh,9.1
14,autofocus,9.1
14,handling,9.6
14,value,9.3
14,reviews,104
14,views,"429,680"
14,last_date,"Mon May 27, 2024"
14,recommended_by,99% of reviewers
14,price,$457.77 
14,rating,9.41
14,description,"The SMC Pentax-DA 70mm F2.4 Limited is high-quality a compact telephoto ""pancake"" lens that is designed only for Pentax DSLR's. The lens is pictured above with the hood on."
14,image_link,https://www.pentaxforums.com/lensreviews/data/34/pentax_70mm.jpg
14,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-70mm-F2.4-Limited-Lens.html
15,lens_name,SMC Pentax-DA* 200mm F2.8 ED [IF] SDM
15,mount,7
15,focal_length,4
15,sharpness,9.5
15,aberration,8.3
15,bokeh,9.5
15,autofocus,9.1
15,handling,9.7
15,value,9.3
15,reviews,37
15,views,"206,108"
15,last_date,"Thu February 2, 2023"
15,recommended_by,95% of reviewers
15,price,$911.39 
15,rating,9.16
15,description,This telephoto lens features weather-sealing as well as Pentax's SDM focusing technology. Although designated as a DA lens it covers the full frame (24 x 36mm) format.
15,image_link,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA-star_200mm_F28SDM.jpg
15,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-Star-200mm-F2.8-SDM-Lens.html
16,lens_name,SMC Pentax-DA* 300mm F4 ED [IF] SDM
16,mount,7
16,focal_length,5
16,sharpness,9.7
16,aberration,9.6
16,bokeh,9.3
16,autofocus,8.1
16,handling,9.5
16,value,9.2
16,reviews,82
16,views,"372,594"
16,last_date,"Thu April 25, 2024"
16,recommended_by,98% of reviewers
16,price,"$1,026.60 "
16,rating,9.56
16,description,The Pentax DA* 300mm telephoto lens features weather-sealing as well as Pentax's SDM focusing technology. It has a removable tripod mount.
16,image_link,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA-star_300mm_F4SDM.jpg
16,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-Star-300mm-F4-SDM-Lens.html
17,lens_name,HD Pentax-DA 560mm F5.6 ED AW
17,mount,7
17,focal_length,5
17,sharpness,9.2
17,aberration,8.2
17,bokeh,9.0
17,autofocus,9.0
17,handling,8.2
17,value,8.6
17,reviews,6
17,views,"82,105"
17,last_date,"Fri August 14, 2020"
17,recommended_by,83% of reviewers
17,price,"$4,582.83 "
17,rating,9.0
17,description,"The HD PENTAX-DA 560mm F5.6 ED AW DC extreme telephoto lens was initially announced at the CP+ tradeshow in February, 2012 and officially announced in September, 2012 at Photokina. It went on sale in February, 2013. This lens is designed for the APS-C sensor format. With a modest maximum aperture of 5.6 it is relatively affordable and convenient to carry around. The lens is optimized for rendering distant subjects particularly sharp and well-defined. The DA 560mm is based on optics used in astronomical telescopes. Contrary to popular belief, the lens is not collapsible (it does feature a built-in retractable hood, however). The lens is designed for all-weather use (AW) incorporating a total of 29 seals to protect the innards of the lens. It has a built-in filter holder at the rear taking 40.5mm filters. A circular polarizer filter which can be rotated without removing the filter from the lens is included with the lens. The lens has a built-in DC autofocus motor and features Quick-shift which allows the photographer to manually fine tune focus without switching out of autofocus mode.. On cameras with no support for in-lens autofocus motors (*istD series, K100D and K110D) the lens works as a manual focus lens. This lens features Pentax HD coating, the next generation of multi-coating (supersedes SMC coating). The diaphragm blades are rounded for a smooth bokeh in the range F5.6 to F11. The filter holder at the rear has a wheel that allows for turning the circular polarizer when mounted in the holder."
17,image_link,https://www.pentaxforums.com/lensreviews/data/34/pentaxDA560mmF56.jpg
17,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-560mm-f5.6.html
18,lens_name,HD Pentax-DA 10-17mm F3.5-4.5 Fish-Eye ED
18,mount,7
18,focal_length,6
18,sharpness,9.3
18,aberration,8.0
18,bokeh,7.5
18,autofocus,9.0
18,handling,9.7
18,value,8.7
18,reviews,5
18,views,"22,584"
18,last_date,"Tue November 16, 2021"
18,recommended_by,100% of reviewers
18,price,$423.48 
18,rating,8.67
18,description,"The Pentax 10-17mm fisheye lens provides a 180-degree diagonal Field of View (FoV) on Pentax APS-C format DSLRs. At 17mm, the FOV is reduced to 100 degrees. The image is not rectilinear. The fisheye effect is more dramatic at the wider end of the zoom range. This lens is an upgrade of the earlier smc version and features HD coating and a removable lens hood. W hen mounted on a PENTAX K-1 or PENTAX K-1 Mark II camera body, the photographer can remove the lens hood to produce nearly circular fish-eye images."
18,image_link,https://www.pentaxforums.com/lensreviews/data/43/HD_Pentax-DA_10-17mm_F3_5-4_5_ED_Fish-eye_PFa_w_hood.jpg
18,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-10-17mm-f35-45-fish-eye-ed.html
19,lens_name,SMC Pentax-DA 10-17mm F3.5-4.5 Fish-Eye ED [IF]
19,mount,7
19,focal_length,6
19,sharpness,8.4
19,aberration,6.9
19,bokeh,7.2
19,autofocus,8.9
19,handling,9.2
19,value,9.1
19,reviews,101
19,views,"312,275"
19,last_date,"Wed February 14, 2024"
19,recommended_by,99% of reviewers
19,price,$410.93 
19,rating,8.93
19,description,"The Pentax 10-17mm fisheye lens provides a 180-degree diagonal Field of View (FoV) on Pentax APS-C format DSLRs. At 17mm, the FOV is reduced to 100 degrees. The image is not rectilinear. The fisheye effect is more dramatic at the wider end of the zoom range. In 2019 this lens was replaced by an HD coated version , but it can still be found new as of February 2020."
19,image_link,https://www.pentaxforums.com/lensreviews/data/43/Pentax_10-17_Fisheye_3.jpg
19,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-10-17mm-F4-Fisheye-Zoom-Lens.html
20,lens_name,HD Pentax-DA* 11-18mm F2.8 ED DC AW
20,mount,7
20,focal_length,6
20,sharpness,10.0
20,aberration,9.3
20,bokeh,9.4
20,autofocus,9.6
20,handling,9.8
20,value,9.7
20,reviews,14
20,views,"89,650"
20,last_date,"Sun June 16, 2024"
20,recommended_by,93% of reviewers
20,price,"$1,442.08 "
20,rating,9.92
20,description,"This is a high end ultra-wide angle zoom lens for the APS-C format with a large maximum aperture for a wide angle zoom of F2.8. It complements the DA* 16-50mm F2.8 and DA* 50-135mm lenses as a weather sealed trio of F2.8 high performance lenses for the APS-C format. The 11-18mm zoom is weather sealed and features a focus clamp intended to prevent accidental change of focus e.g. when the lens is used for astro-photography. The lens is cold-resistant to -10 degrees centigrade. The exterior is designed with a lens heater groove to prevent dew condensation. To facilitate the installation of the heater, the lens is shaped fairly level, without a bump between the lens barrel and the focus and zoom rings. The lens barrel has been constructed with metallic components for effective transmission of the heat generated by the heater. Case, caps and lens hood are included with the lens. The lens hood features a removable door which allows for rotating a polarizing filter should one be attached. The lens was released on February 22, 2019."
20,image_link,https://www.pentaxforums.com/lensreviews/data/43/HD_PENTAX-DA_11_18mm.jpg
20,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-11-18mm-f28.html
21,lens_name,SMC Pentax-DA 12-24mm F4 ED AL [IF]
21,mount,7
21,focal_length,6
21,sharpness,9.3
21,aberration,8.0
21,bokeh,8.1
21,autofocus,8.9
21,handling,9.2
21,value,8.7
21,reviews,63
21,views,"353,555"
21,last_date,"Fri August 23, 2024"
21,recommended_by,95% of reviewers
21,price,$678.37 
21,rating,9.15
21,description,This 12-24mm extreme-wide angle zoom lens provides a useful range for landscape and street photography. An alternative would be the heavier and more expensive DA* 11-18mm F2.8 lens.
21,image_link,https://www.pentaxforums.com/lensreviews/data/43/Pentax_12-24_5.jpg
21,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-12-24mm-F4-Zoom-Lens.html
22,lens_name,SMC Pentax-DA 16-45mm F4
22,mount,7
22,focal_length,6
22,sharpness,8.7
22,aberration,7.9
22,bokeh,7.7
22,autofocus,8.4
22,handling,8.4
22,value,9.2
22,reviews,120
22,views,"471,482"
22,last_date,"Thu March 30, 2023"
22,recommended_by,94% of reviewers
22,price,$265.20 
22,rating,8.72
22,description,This wide-angle to normal lens is among the earlier DA lenses. It has a fixed maximum aperture of F4 across the entire zoom range.
22,image_link,https://www.pentaxforums.com/lensreviews/data/43/SMC_Pentax_DA_16-45mm.jpg
22,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-16-45mm-F4-Lens.html
23,lens_name,HD Pentax-DA* 16-50mm F2.8 ED PLM AW
23,mount,7
23,focal_length,6
23,sharpness,9.8
23,aberration,9.5
23,bokeh,9.4
23,autofocus,9.4
23,handling,9.4
23,value,9.3
23,reviews,9
23,views,"55,527"
23,last_date,"Thu October 24, 2024"
23,recommended_by,100% of reviewers
23,price,"$1,342.33 "
23,rating,9.56
23,description,"The HD Pentax-DA* 16-50mm F2.8ED PLM SDM AW is a professional APS-C format zoom lens designed to deliver high image quality. It features a PLM autofocus motor which allows for fast and silent autofocus also suitable for autofocus during video recording. The lens mount is KAF4*, which incorporates electromagnetic aperture control and the lens is weather sealed. The lens is rated for use from -10 degrees C to 40 degrees C and a humidity of 85% or less. The lens has three super ED glass lens elements and one anomalous glass element for the purpose of reducing chromatic aberration. This lens replaces the smc Pentax-DA* 16-50mm F2.8ED AL [IF] SDM , vhivh goes all the way back to 2007. Where this old model had internal focus ([IF]), the new model extends slightly when focusing. The lens is scheduled to become available in August 2021. * Cameras compatible with this system are the K-50 and newer. For K-1, K-3 II, K-3, K-S2, K-S1 and K-50, the cameras firmware must be upgraded to the latest version. If this lens is mounted on a camera without proper firmware upgrade, its diaphragm control mechanism becomes inactive leaving the aperture fixed at F2.8, making it difficult to obtain correct exposure."
23,image_link,https://www.pentaxforums.com/lensreviews/data/43/HD_Pentax-DA_16-50mm_F2_8_star_stock-w_hood-b_xh800.jpg
23,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-16-50mm-f28ed-plm-aw.html
24,lens_name,SMC Pentax-DA* 16-50mm F2.8 ED AL [IF] SDM
24,mount,7
24,focal_length,6
24,sharpness,8.4
24,aberration,7.6
24,bokeh,8.3
24,autofocus,7.8
24,handling,8.5
24,value,7.5
24,reviews,139
24,views,"541,773"
24,last_date,"Sun June 9, 2024"
24,recommended_by,83% of reviewers
24,price,$719.05 
24,rating,8.36
24,description,"Like all other DA lenses, the SMC Pentax DA* 16-50mm is designed exclusively for Pentax APS-C format DSLR cameras. It was announced in late February, 2007. It auto-focuses with an SDM ultrasonic motor on the K10D (firmware 1.30) and newer cameras. On older cameras the lens will auto-focus with the 'screw drive' mechanism."
24,image_link,https://www.pentaxforums.com/lensreviews/data/43/221200712913.jpg
24,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-Star-16-50mm-F2.8-SDM-Zoom-Lens.html
25,lens_name,HD Pentax-DA 16-85mm F3.5-5.6 ED DC WR
25,mount,7
25,focal_length,6
25,sharpness,9.0
25,aberration,8.7
25,bokeh,7.7
25,autofocus,8.9
25,handling,9.0
25,value,8.1
25,reviews,44
25,views,"304,382"
25,last_date,"Thu August 22, 2024"
25,recommended_by,89% of reviewers
25,price,$502.25 
25,rating,8.86
25,description,The HD Pentax-DA 16-85mm zoom was presented at Photokina 2014 and is expected to ship in November of 2014. This zoom represents an upgrade from the 18-55mm kit lens being wider as well as having a longer reach and adding to that silent autofocus thanks to a built-in DC autofocus motor. The lens is weather resistant.
25,image_link,https://www.pentaxforums.com/lensreviews/data/43/140916_35h_wablx.jpg
25,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-16-85mm-f35-56-ed-dc-wr.html
26,lens_name,SMC Pentax-DA 17-70mm F4 AL [IF] SDM
26,mount,7
26,focal_length,6
26,sharpness,8.5
26,aberration,8.4
26,bokeh,8.1
26,autofocus,6.3
26,handling,8.0
26,value,7.3
26,reviews,57
26,views,"314,893"
26,last_date,"Mon July 29, 2024"
26,recommended_by,75% of reviewers
26,price,$460.93 
26,rating,7.63
26,description,"This wide-angle to normal zoom incorporates the new Pentax KAF3 mount, which uses SDM focusing technology but has no mechanical focusing shaft. Thus, it can only autofocus on Pentax digital SLRs that support SDM, including the K100D Super, K200D, K10D, K20D, and later models. On older cameras you must focus manually."
26,image_link,https://www.pentaxforums.com/lensreviews/data/43/SMC_Pentax-DA_17-70mm_F4_SDM.jpg
26,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-17-70mm-F4-SDM-Zoom-Lens.html
27,lens_name,HD Pentax-DA 18-50mm F4-5.6 DC WR RE
27,mount,7
27,focal_length,6
27,sharpness,7.7
27,aberration,7.9
27,bokeh,7.1
27,autofocus,8.8
27,handling,6.2
27,value,7.9
27,reviews,19
27,views,"97,953"
27,last_date,"Tue July 2, 2024"
27,recommended_by,74% of reviewers
27,price,$137.33 
27,rating,7.53
27,description,"The HD PENTAX-DA 18-50mm F4-5.6 DC WR RE launched in February 2015 was a welcome addition to the 18-50/55 mm range of zoom lenses for the APS-C format with its built-in autofocus motor for silent autofocusing. Focusing manually with the focusing ring engages the AF motor, which takes care of the focusing. This implies that this lens cannot be used on DSLRs without lens power contacts (K100D and older). As a first for Pentax this standard zoom lens is retractable for easy storage and portability. When retracted it measures but 41 mm in length. The lens is weather resistant making it useable in dusty environments or in light rain when paired with a weather-resistant Pentax DSLR. The lens features the Pentax HD coating and super-low dispersion glass elements and aspherical elements for improved image quality. The lens has an smc coated DA L counterpart, which is is included as a kit lens with a camera body and cannot be purchased separately."
27,image_link,https://www.pentaxforums.com/lensreviews/data/43/HD_DA18-50_hood_pentax.jpg
27,lens_link,https://www.pentaxforums.com/lensreviews/hd-pentax-da-18-50mm-f4-56-dc-wr-re.html
28,lens_name,SMC Pentax-DA 18-55mm F3.5-5.6 AL
28,mount,7
28,focal_length,6
28,sharpness,7.1
28,aberration,7.1
28,bokeh,6.6
28,autofocus,7.6
28,handling,8.3
28,value,8.6
28,reviews,98
28,views,"173,796"
28,last_date,"Fri October 11, 2024"
28,recommended_by,94% of reviewers
28,price,$61.79 
28,rating,7.42
28,description,"The DA 18-55mm F3.5-5.6 is the original Pentax DSLR kit lens. In 2008, an upgraded version badged "" SMC Pentax-DA 18-55mm F3.5-5.6 AL II "" replaced this model, featuring improvements in image quality."
28,image_link,https://www.pentaxforums.com/lensreviews/data/43/Pentax_18-55_3.jpg
28,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-18-55mm-F3.5-5.6-Zoom-Lens.html
29,lens_name,SMC Pentax-DA 18-55mm F3.5-5.6 AL II
29,mount,7
29,focal_length,6
29,sharpness,7.9
29,aberration,8.0
29,bokeh,7.2
29,autofocus,8.0
29,handling,9.0
29,value,9.1
29,reviews,58
29,views,"207,082"
29,last_date,"Thu May 18, 2023"
29,recommended_by,98% of reviewers
29,price,$91.55 
29,rating,8.21
29,description,This new version of the 18-55mm Pentax kit lens was released in 2008 and features improved resolution. It has since been replaced by a weather-resistant variant.
29,image_link,https://www.pentaxforums.com/lensreviews/data/43/SMC_Pentax-DA_18-55mm_F3_5-5_6.jpg
29,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-18-55mm-F3.5-5.6-II-Version-2-Zoom-Lens.html
30,lens_name,SMC Pentax-DA 18-55mm F3.5-5.6 AL WR
30,mount,7
30,focal_length,6
30,sharpness,7.3
30,aberration,7.6
30,bokeh,7.1
30,autofocus,8.2
30,handling,8.8
30,value,8.8
30,reviews,97
30,views,"339,872"
30,last_date,"Sun November 20, 2022"
30,recommended_by,87% of reviewers
30,price,$114.69 
30,rating,7.76
30,description,This is the new weather-sealed version of the Pentax kit lens which started shipping with the K-7 bundle. It is optically identical to the SMC Pentax-DA 18-55mm AL II.
30,image_link,https://www.pentaxforums.com/lensreviews/data/43/DA18-55mmWR.jpg
30,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-18-55mm-F3.5-5.6-WR-Weather-Resistant-Version-Zoom-Lens.html
31,lens_name,SMC Pentax-DA 18-135mm F3.5-5.6 ED AL [IF] DC WR
31,mount,7
31,focal_length,6
31,sharpness,8.1
31,aberration,7.7
31,bokeh,8.0
31,autofocus,9.3
31,handling,9.4
31,value,8.6
31,reviews,141
31,views,"635,705"
31,last_date,"Fri September 27, 2024"
31,recommended_by,92% of reviewers
31,price,$398.84 
31,rating,8.52
31,description,"The SMC Pentax-DA 18-135mm F3.5-5.6 ED AL [IF] DC WR is a new prosumer walkaround lens from Pentax. The lens currently has an MSRP of $499.95 . This lens covers a wide zoom range and features Pentax's latest lens technology, including the Quick-Shift focus system, SP (Super Protect) coating, and a DC motor for the SDM focusing system. When this lens auto-focuses, the external focusing ring does not move, allowing for comfortable holding and fine manual adjustment on the fly as well as for excellent AF speed. The lens also features an aspherical element, internal focusing, and extra-low dispersion element, and weather sealing to compliment the weather sealing of the K-5. The aperture blades are rounded to help render a very smooth bokeh. Finally, the lens hood also features a filter window for easy use of CPL filters. Note: this lens uses the KAF3 mount. Autofocus will only work on SDM-enabled bodies: The K100D Super and K10D (w/ 1.30 firmware or higher) and newer."
31,image_link,https://www.pentaxforums.com/lensreviews/data/43/Pentax_18-135mm.jpg
31,lens_link,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-18-135mm-F3.5-5.6-ED-AL-IF-DC-WR.html
32,lens_name,SMC Pentax-DA 18-250mm F3.5-6.3 ED AL [IF]
32,mount,7
32,focal_length,6
32,sharpness,8.5
32,aberration,7.8
32,bokeh,7.6
32,autofocus,8.0
32,handling,8.3
32,value,9.2
32,reviews,50
32,views,"261,481"
32,last_date,"Mon November 1, 2021"
32,recommended_by,96% of reviewers
32,price,$415.66 
32,rating,8.58
32,description,"Released in late 2007, the SMC Pentax-DA 18-250 mm lens is based on a Tamron 18-250 mm lens. It was discontinued in 2011 and replaced by the SMC Pentax-DA 18-270mm lens in 2012."
